,0,1,2,3,4,5,6,7,8,9
0,35.036705,33.177494,68.78887,52.104195,62.705444,36.7762,43.550392,39.548523,38.429047,110.434944
1,35.28347,33.284027,69.34306,52.148514,62.860943,37.388687,43.857998,40.516544,38.738686,111.29686
2,35.349865,33.43,69.34946,53.194843,63.037453,37.86933,43.926502,42.419174,38.87188,111.43728
3,36.7117,34.234535,69.46748,52.278408,68.29866,37.736588,44.81293,41.74563,39.005894,114.07576
4,36.435257,33.44503,70.011826,52.928165,64.72928,38.487865,44.52639,39.6148,39.936943,113.82439
5,36.347237,33.934017,72.86114,53.56547,65.25964,39.07528,44.7999,40.24746,39.060326,113.04695
6,35.502674,34.808353,72.06677,53.760773,66.826096,38.551373,45.04057,41.987183,39.976517,112.08983
7,37.56416,37.049732,72.993835,53.91651,64.851776,42.8574,45.078777,42.765175,43.42527,111.79522
8,36.67757,34.8435,73.04913,54.473022,67.96363,38.63641,43.9604,46.903297,40.918186,112.22226
9,37.679764,34.938454,74.80725,56.42089,63.61355,40.394753,44.763985,46.067497,41.996872,111.6525
